dataset_index,y_true,y_pred,p_fraud,title,company_profile,description,location,industry,required_experience,required_education,employment_type,function,is_error,error_type,error_magnitude
262,0,1,0.5459216555752072,Data Entry/Customer Service Rep,,As a Data Entry/Customer Service Representative you will be responsible for simultaneously managing inbound and outbound phone calls and processing customer payments.  Being able to multi-task is very important in this position as you will need to input data into the computer systems while on the phone with the customers.  Customers may be calling ,"US, CT, Danbury",,Entry level,High School or equivalent,Full-time,Customer Service,True,false_positive,0.5459216555752072
3770,0,1,0.5336878091149861,Dental Receptionist / Dental Office Manager,"SunnyView Dental offers a variety of cosmetic, family, and emergency dental services in clinics around Ontario.Our dental offices are open 7 days a week and offer direct insurance billing.Please see our website for more information.",SunnyView Dental is looking for an *experienced* dental receptionist leading to an office manager position in our GEORGETOWN location. We are Canada's fastest growing chain of dental practices and there is room for both professional and financial growth when you choose a career at SunnyView Dental.Responsibilities will include but are not limited t,"CA, ON, Georgetown",Hospital & Health Care,,,Full-time,Administrative,True,false_positive,0.5336878091149861
7891,0,1,0.5252915416093779,Administrative Assistant,,We currently have an opening for an Administrative Assistant. This is a virtual position and you must be comfortable working from home. A computer with reliable internet and basic computer skills are a must. We are looking for someone who has great organizational skills and has the ability to pay great attention to detail.,"US, TX, San Antonio",Insurance,Not Applicable,High School or equivalent,Full-time,Administrative,True,false_positive,0.5252915416093779
17868,0,1,0.5151412509769983,Admin Assistant ,,"We are seeking an administrator to work in a busy sales environment to support a small team of sales executives. Duties will involve database management - compiling email addresses from various data sources. In addition, some inbound telephone answering will be required and therefore you will need to have a confident telephone manner and be able to","GB, WSX, Chichester",Human Resources,Entry level,Unspecified,Full-time,Sales,True,false_positive,0.5151412509769983
16649,0,1,0.5059870913963076,Administrative Assistant,,We currently have an opening for an Administrative Assistant. This is a virtual position and you must be comfortable working from home. A computer with reliable internet and basic computer skills are a must. We are looking for someone who has great organizational skills and has the ability to pay great attention to detail.,"US, GA, Atlanta",Insurance,Not Applicable,High School or equivalent,Full-time,Administrative,True,false_positive,0.5059870913963076
5853,0,1,0.49632377172368425,Tankage,,"A company in oil &amp; gas that has grown into one of Malaysia’s leading integrated specialist technical services providers to the oil, gas and petrochemical industry.","MY, 10, Petaling Jaya",Oil & Energy,Mid-Senior level,,Full-time,Engineering,True,false_positive,0.49632377172368425
15135,0,1,0.48344318928369023,Payroll Processor,,"JOB DESCRIPTIONClassification: Payroll ProcessorCompensation:  $20.00 per hourOur multi-specialty medical group in New York is seeking an experienced payroll clerk to support their department, this position is a temp-hire If you are seeking a short-term or  long term  project and are determined and organized, please send your resumeResponsibilities","US, NY, New York",Accounting,Entry level,,Contract,Accounting/Auditing,True,false_positive,0.48344318928369023
14138,0,1,0.4789523770377007,Direct Sales Opportunity,Distributor of Award Winning Personal Empowerment accredited course. Helping others to start their own home businesses.,"This is a business model, which supports your life in alignment with who you are and how you want to be in the world, liberating you from the old economy paradigms.This opportunity is for Big Thinkers Only. Make up to $5,000 USD per sale. Would suit entrepreneurial, self motivated person. Our business is booming in this unstable economy &amp; we se","GB, GBN, London",,,,,,True,false_positive,0.4789523770377007
557,0,1,0.47644399632345985,Asistente Administrativa,"R.H. ÁGIL es una empresa dedicada a ofrecer servicios de Recursos Humanos, especializada en las áreas de Asesoría, Administración, Selección de Personal y Desarrollo Organizacional ofreciendo un servicio innovador y de alta calidad..","Servicio al ClienteBuenas relaciones personalesManejo Microsoft office, internet, manejo de archivosOrganizada y atención a detalles.Conocimiento del sistema de seguridad social de PanamáTrabajo en equipo.","PA, 8, Panama",Accounting,Entry level,High School or equivalent,Full-time,Accounting/Auditing,True,false_positive,0.47644399632345985
9029,0,1,0.4669983078071486,Appointment coordinator,We are testing a new program that allows people with a driven attitude to partner with a industry leader in sales.  Learning is the best way to increase your income.  Self starters will have the opportunity to engage in many products.  We will give you information after reviewing your application and let you know if we are interested in your skills.  NO PHONE CALLS PLEASE,"Who doesn’t want a competitive compensation package AND the opportunity to work with a company that has reported 30% growth consecutively over the last few years and make up to $500 to $1000. (NO PHONE CALLS PLEASE ALL APPOINTMENTS SET BY APPOINTMENT ONLY) We are excited to be leading the initiative for our high end clients, a growing company in th","US, IL, burbank",Automotive,Associate,Unspecified,Contract,Advertising,True,false_positive,0.4669983078071486
38,0,1,0.46000721603011013,PROJECT MANAGER,,"we are looking for a Project Manager. The Project Manager works within the Project Management Department, which is responsible for the management of offshore projects, executed for major oil and gas exploration companies worldwide. The Project Manager manages projects in compliance with the applicable management systems and in such a way that they ","US, TX, HOUSTON",Oil & Energy,Mid-Senior level,Bachelor's Degree,Full-time,Engineering,True,false_positive,0.46000721603011013
8194,0,1,0.4547887628458447,Accounting Clerk $15/hr,,"The Accounting Clerk will work in a team environment providing general clerical, accounting and office support. Primary duties will include but are not limited to: data entry (both numerical and alphabetical) , filing, bank statement reconciliation. Generating client's monthly financial statements. Handling Rebates The hours of the position are 8:0","US, TX, San Antonio",Accounting,Entry level,High School or equivalent,Full-time,Accounting/Auditing,True,false_positive,0.4547887628458447
5448,0,1,0.4518603735451762,Customer Service Agent,,"Position: Call Center Customer Service AgentDo you make friends feel better when they are down?Do you help relatives set up email on their computer?AND you do it over the phone!! If you do, you should use your compassion and put your service skills to use to help you earn money and start a career in customer service. Where is this opportunity?Gaute","ZA, GT, Johannesburg",Financial Services,Not Applicable,High School or equivalent,Full-time,Customer Service,True,false_positive,0.4518603735451762
4088,0,1,0.4499274622814583,Admin Assistant,,"This is an ideal position for a student who is looking for a flexible part time position and who is looking to gain some hands on skills with an established international brand, or for someone looking for steady, part-time employment.Your responsibilities include:•Entering Purchase Orders•Filing•Data Entry• Another duties as required•liaising with ","AU, NSW, Sydney",,,,,,True,false_positive,0.4499274622814583
25,0,1,0.44665005891668513,Customer Service ,,We are a canary wharf based e-commerce company and are recruiting for a full time customer service administrator.   This is a contractor role.The successful candidate will ideally have previous customer service experience and have good verbal and written communication skills.Duties includes-Telephone and email customer service-Processing informatio,"GB, LND, London",,,,,,True,false_positive,0.44665005891668513
6523,0,1,0.44226580394438536,Brand & Logo Design Contest!!!,"Insight Riot! is a Digital Marketing Company that helps businesses understand and execute Lead Generation strategies through Awareness / Traffic Strategies, Optimization and Hypothesis Testing and Marketing Funnel Automation and Reporting. Long and short...we help companies leverage technology for business growth.","Calling all hungry, young &amp; fresh designers!!!! We want you for a brand &amp; logo design contest. Local startup business is looking for identity designs. Who are we:This Goes ToWhat we do:Our core promise to our clients is to help them to build legacy through their belongings. Our website will be allow people to assign personal stories (ascrib","US, MI, Grand Rapids",Design,Not Applicable,Unspecified,Other,Art/Creative,True,false_positive,0.44226580394438536
11922,0,1,0.4370318100940273,Data Entry ($18/hr),"Monroe Staffing is a full-service staffing and consulting firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates. With offices throughout the Northeast and our newest office in North Carolina, we make it our business to know the local employment markets and our clients industries.Monroe Staffing provides a broad range of employment services and a best practices approach. From last-minute fill-ins to long-term strategic staffing plans; from a single high-level executive placement to a project team of specialists, we have developed effective strategies for finding and screening the most qualified staff based on our clients’ needs.",Data entry clerk needed for a 16 week project (could go longer).  The data entry clerk will be responsible for entering billing and insurance information into the database.,"US, TN, ",Staffing and Recruiting,Not Applicable,High School or equivalent,Contract,Data Analyst,True,false_positive,0.4370318100940273
6785,0,1,0.4292578079089277,Receptionist,,"Quest College is seeking an individual to join the staff as a Receptionist  Requirements:Professional demeanorUpbeat and positive attitudeProficient with Microsoft Word,      Excel, Outlook, Internet ExplorerGreat telephone etiquetteMust be able to work Monday – Friday      and extremely dependableSchedule varies between 7:30 am      – 8:00 pmExcel","US, TX, San Antonio",Education Management,Entry level,High School or equivalent,Full-time,Administrative,True,false_positive,0.4292578079089277
4521,0,1,0.42829995566444884,Data Entry,,•Prepares source data for computer entry by compiling and sorting information; establishing entry priorities.  •Processes customer and account source documents by reviewing data for deficiencies; resolving discrepancies by using standard procedures or returning incomplete documents to the team leader for resolution.•Enters customer and account data,"US, MI, ACME MI  ",,,,,,True,false_positive,0.42829995566444884
6608,0,1,0.424509461270045,Quality Engineer,,"The Quality Engineer is responsible for managing all quality assurance/control related activities for a specific deck of customers, including interaction with associates in other functional areas responsible for the same group of customers. Paramount in these activities is the short and long term resolution of internally and externally identified p","US, OH, cincinnati",Medical Devices,Mid-Senior level,Bachelor's Degree,Full-time,Engineering,True,false_positive,0.424509461270045
1659,0,1,0.42044755725100735,Data Entry,,Prepares source data for computer entry by compiling and sorting information; establishing entry priorities.  •Processes customer and account source documents by reviewing data for deficiencies; resolving discrepancies by using standard procedures or returning incomplete documents to the team leader for resolution.•Enters customer and account data ,"US, FL, miami",,,,,,True,false_positive,0.42044755725100735
17292,0,1,0.4182612256501932,Immediate Opening : J2EE Developer for Bahrain ,"VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. . We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Information Technology Development, Telecom, Aviation, Retail Management &amp; Government offerings.","Greetings from VAM SYSTEMS…..VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Informatio","BH, 13, ",,,,,,True,false_positive,0.4182612256501932
6821,0,1,0.41234512369448395,Lawn Care Technician,,"We are currently looking for our next great Lawn Care Technician to join our successful team.  As a lawn care professional, you will be responsible to service customer lawns in your route as you apply fertilizer, treat weeds, and perform other professional applications while ensuring amazing customer service.  You may also be responsible for accura","US, IL, Wheeling",,,High School or equivalent,Full-time,,True,false_positive,0.41234512369448395
11327,0,1,0.39994083354281523,Administrative Assistant,"MedTalent is a modern staffing company that specializes in the placement of physicians, nurses and healthcare professionals across the United States. For job updates follow us on Twitter and Facebook ",Our customer is providing something new in Healthcare. Something based on what is best for the patient. Imagine being able to walk into a medical facility and being immediately received by someone who cares about the patient. Patients are seen rapidly and the average door to doctor time is less than 20 minutes. The facilities provide patient’s acce,"US, FL, Jacksonville",Hospital & Health Care,Associate,High School or equivalent,Full-time,Administrative,True,false_positive,0.39994083354281523
9327,0,1,0.3997044960165574,Big Data - Hadoop Designer,,"Position: BIG DATA - Hadoop DesignerLocation: Los Angeles, CA - 00592Duration: 6 months Contract ","US, CA, Los Angeles",Information Technology and Services,,,Contract,Information Technology,True,false_positive,0.3997044960165574
7745,0,1,0.39893210684693586,Customer Service Representative,,"The Customer Service Representative will provide an optimum level of service to the organization by obtaining, analyzing and verifying the accuracy of order information in a timely manner. Team spirit and a pro-active attitude is a necessity. Exceptional problem solving skills are required in order to deliver customer expectations.Essential Job Fun","CA, ON, Toronto",Management Consulting,Entry level,High School or equivalent,Full-time,Customer Service,True,false_positive,0.39893210684693586
14090,0,1,0.39011892118837765,Quality Systems Medical Device Consultant,,"The Quality Engineer Consultant will lead (primary ownership) or support (secondary ownership) Quality Systems remediation, including;  investigations, Medical Device Reporting (MDR), Complaints, CAPA, Non-Conformances (NCR), Change Controls, Production &amp; Process Controls, and Risk Management as assigned. Additionally, will lead improvements to","US, NJ, Wayne",Medical Devices,Mid-Senior level,Bachelor's Degree,Contract,Consulting,True,false_positive,0.39011892118837765
7803,0,1,0.388019121933752,Cognos Developer,,"Must have 5+ years experience in Cognos BI, Admin. Experience in Cognos best practices and design patterns is mandatory. MS BI skills are needed: SSIS, SSRS experience – if this is not present we need at least very strong SQL skills. Must have strong experience in writing complex SQL queries. Must have excellent knowledge of Data warehousing concep","US, WA, Seattle",Information Technology and Services,Executive,Bachelor's Degree,Full-time,Information Technology,True,false_positive,0.388019121933752
11123,0,1,0.38754741970791023,Hiring for all FOH and BOH Positions!,,"Trudy’s is always looking for the best!The benefits of working for Trudy’s include free meals, employee discounts, paid vacations, daily contests and bonuses. There is great advancement potential to bar and management positions. We want you to succeed!We want you to refer your friends too! If they stick with us for 6 months we’ll give you a $500 re","US, TX, Austin",Restaurants,,,,,True,false_positive,0.38754741970791023
2789,0,1,0.385370620554469,Administrative Assistant,"Ideal CRM is a sales consulting firm focused on Customer Relationship Management. We specialize in building and implementing high performing sales teams to increase productivity and profitability for businesses organizations. With more than 50 years of experience, our team has developed a proven and repeatable system supported by industry leading technology to improve profitability and effectiveness.Our ApproachWe invest time to get to know the ins and outs of your business before designing a program that aligns with your vision and objectives to ensure success.ASSESS: We invest time to get to know your business to align your requirements with your goalsIMPLEMENT: We develop and implement a custom training program to take your sales, marketing, and customer service team to the next level.EVALUATE: Performance objectives and goals are evaluated to ensure success. ","Customer Relationship Management specialist company looking to hire and Administrative Assistant. This is a telecommute position and all Candidates must be comfortable working from their homes.Location: Virtual (From your Home)Responsibilities:Provide administrative support to companyAccept phone calls, and arranges conference callsConduct research","US, PA, Philadelphia",Marketing and Advertising,Entry level,High School or equivalent,Full-time,Administrative,True,false_positive,0.385370620554469
16680,0,1,0.3848624983631674,Urgent Need :Oracle Developer for Bahrain.,"VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. . We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Information Technology Development, Telecom, Aviation, Retail Management &amp; Government offerings.","Greetings from VAM SYSTEMS…..VAM SYSTEMS is a Business Consulting, IT Technology Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources,","BH, , ",,,,,,True,false_positive,0.3848624983631674
16639,0,1,0.37988927694142394,Immediate Opening : Help Desk /Technical Support Coordinator,"VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. . We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Information Technology Development, Telecom, Aviation, Retail Management &amp; Government offerings.","Greetings from VAM SYSTEMS…..VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. . We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Informat","QA, , Doha",,,,,,True,false_positive,0.37988927694142394
12242,0,1,0.3766806515455679,Teaching Assistant,,Requirements:                                                                                                                                                                                                                                                                                                                                                 ,"US, FL, Jacksonville",,,,,,True,false_positive,0.3766806515455679
679,0,1,0.37552865396413526,Telesales,,"True Home Value one of the top five home improvements company's in the USA is now hiring for immediate openings for our telesales department.  We are looking for professional, experienced and flexiable canidates to join our growing team.  Leads are generated by the company for outbound calls. You would recieve 100% paid training. This is the career","US, KY, Louisville",Telecommunications,Not Applicable,Unspecified,Full-time,Marketing,True,false_positive,0.37552865396413526
9191,0,1,0.37271969219257584,Accounts Payable Clerk,,OVERVIEWThis position requires an analytical thinker who has exceptional attention to detail.RESPONSIBILITIESIndividual will be responsible for the day-to-day administration and processing of the Accounts Payable function which includes the following:Responsible for accurate recording and timely payment of vendor invoicesAnalyze documentation assoc,"US, NY, ",,,Bachelor's Degree,,,True,false_positive,0.37271969219257584
11121,0,1,0.3724918325000668,(Senior) Structural Engineer,,"we are looking for a (Senior) Structural Engineer. The (Senior) Structural Engineer reports directly to the Manager Innovations.Job requirements:HTS/TU Civil Engineering or Mechanical Engineering;Minimum of 3 years experience, preferably in offshore engineering;Good knowledge of Windows and MS Office applications;Good command of the English languag","US, TX, HOUSTON",Oil & Energy,Mid-Senior level,Bachelor's Degree,Full-time,Engineering,True,false_positive,0.3724918325000668
3417,0,1,0.36926367580460917,Product & Service Testers,Consumer Bucks works with Fortune 500 Companies to give Consumers the best pay in the industry for product and service trials.,Our Company is looking for enthusiastic people to work from home as Product and Service testers. You will get paid a commission for each group of products and services that you test. You must have a home computer and a reliable Internet Connection.,"US, IL, Chicago",Consumer Services,Not Applicable,High School or equivalent,Full-time,Customer Service,True,false_positive,0.36926367580460917
1287,0,1,0.36571011094008715,Product & Service Testers,Consumer Bucks works with Fortune 500 Companies to give Consumers the best pay in the industry for product and service trials.,Our Company is looking for enthusiastic people to work from home as Product and Service testers. You will get paid a commission for each group of products and services that you test. You must have a home computer and a reliable Internet Connection.,"US, GA, Atlanta",Consumer Services,Not Applicable,High School or equivalent,Full-time,Customer Service,True,false_positive,0.36571011094008715
4673,0,1,0.35883801163644113,Operations/ Admin Supervisor / Awesome Person Wanted ASAP!,"Joint venture real estate investments with individual partners through a variety of different structures including: equity, RRSPs, private mortgages and short-term loans for corporate executive furnished rentals, single and multi-family rentals, rent-to-own properties, renovations, development and redevelopment projects throughout Calgary and neighboring areas. Having an interest in all of the projects that we undertake, leads to an owner driven investment strategy. Combined with focusing on long-term, sustainable returns, gives Equium an advantage in finding value in the Calgary real estate market.Turning active investing passive - creating hands off investments is our specialty; while still providing a healthy return on investment and strong growth options for the future.Contact one of our staff today to discuss your real estate investing future!","We are a small real estate investment firm with a growing portfolio of properties which require assistance to manage.Tasks may include: Answering phone calls, visiting tenants, arranging property showings, completing inspections, contractor meetings, arrangements and research, document pick up and delivery and bookkeeping.This position is ideal for","CA, AB, Calgary",Real Estate,Entry level,High School or equivalent,Full-time,Administrative,True,false_positive,0.35883801163644113
501,0,1,0.3559278222873532,Full Stack Business Development Manager,About Us.,Design and execute strategies that will grow revenues in both the short and long term. Leverage existing relationships to build new partnerships.,,Real Estate,Entry level,Vocational,Full-time,Business Analyst,True,false_positive,0.3559278222873532
1747,0,1,0.3559062964260863,Data Entry,,•Prepares source data for computer entry by compiling and sorting information; establishing entry priorities.  •Processes customer and account source documents by reviewing data for deficiencies; resolving discrepancies by using standard procedures or returning incomplete documents to the team leader for resolution.•Enters customer and account data,"US, PA, ACADEMY LIFE",,,,,,True,false_positive,0.3559062964260863
537,0,1,0.35562414337220066,Part-Time Administrative/Data Entry I,,"As Part Time Administrative Assistant/ Data Entry I you will be responsible for:-         Reporting directly to Account Managers-         Professional phone communication; phones, fax, email-         Responding to and resolving Customer Service issues-         Assisting managers and their meetings; transcribing notes, copying, organizing, preparing","US, CA, Dana Point",Consumer Services,Entry level,Unspecified,Part-time,,True,false_positive,0.35562414337220066
3813,0,1,0.35343205789826576,PT Administrative Assistant/Receptionist,"Dairy, food and beverage processors work within one of the most complex, competitive and precision-driven industries.  They need a partner they can rely on to address their operational issues.  W.M. Sprinkman has been providing system design, engineering and installation as well as stainless steel manufacturing, maintenance and servicing of equipment for over 80 years.  The secret (foundation/ core) of our longevity is our incredibly talented and dedicated staff from sales to service, concepts to installation.  ","W.M. Sprinkman, a premier provider of custom solutions for the dairy, food and beverage industries is looking for a skilled administrative assistant to provide an outstanding first impression to its visitors and callers.  This person will also work with the plant leadership to arrange travel, complete data entry for cost analysis and other administ","US, WI, Elroy",Mechanical or Industrial Engineering,Entry level,High School or equivalent,Part-time,Administrative,True,false_positive,0.35343205789826576
5138,0,1,0.34908944354661936,SAS Data Mining Analyst,,"SAS DATA MINING ANALYST - 6 MONTH PRO RATA CONTRACT - $110,000 - HOUSTONMy client is looking for a Data Mining Analyst skilled in SAS. You will be required to perform advanced data analysis, utilise data mining techniques and produce complex statistical models. My client is looking for someone who can develop complicated algorithms and use advanced","US, TX, Houston",,,,,,True,false_positive,0.34908944354661936
2461,0,1,0.3479089800350579,Customer Service Representative ,"About Us:Based in Bethlehem, PA, EcoTech Marine has revolutionized the way people think about water movement in reef aquariums.  Our technologically superior pumps produce unmatched broad yet gentle flow, while placing the motor outside the tank—preserving the beauty and enhancing the health of aquarium ecosystems.Watch a video about us here:    #URL_6120f629b5d41394b63e888613ab955b7e775a494d3d038caf617df5b28c9787#The EcoTech leadership team consists of aquarium enthusiasts and engineers with a penchant for challenging the status quo.  We have worked tirelessly to improve the “state of the art” to enable our customers to have the healthiest, safest and smartest aquarium possible.  That’s why our products offer a wide variety of easy-to-program modes and have been thoroughly tested and endorsed by marine-biologists—making it the most versatile and life-like pump on the market.","EcoTech Marine is seeking someone who’s self-motivated, customer-focused, and has a passion for reef aquariums for our new Customer Service Representative role.  This position has been created due to company growth, and presents a great opportunity to showcase your industry passion and your customer interaction skills!As an EcoTech Marine Customer ","US, PA, Allentown",Consumer Goods,Not Applicable,High School or equivalent,Full-time,Customer Service,True,false_positive,0.3479089800350579
15189,0,1,0.34633098648928584,Commissioned Sales Rep - Nationwide,#URL_1d83f1a3e1e8a88f4c1622930ea14a4f0d6591065c616ef0acac986862cdfd9a# is looking for people who want to have a lot of fun and make money at the same time!  If You Want To:Work From Home Part-Time!Have Unlimited Commission Potential!Get Started Today To Make Money Today!Come and visit us today at: #URL_1d83f1a3e1e8a88f4c1622930ea14a4f0d6591065c616ef0acac986862cdfd9a#,"Work From Home! No Experience Necessary! Unlimited Commission! No Fees to Pay!VaniTEES,LLC is a start-up T-Shirt Company specializing in Beautiful Rhinestone Garments. We are looking for people who want to have fun earning money selling our Personalized, Custom and Stock Designs, while working from the comfort of your own home! There are no monthly","US, DC, Washington",Apparel & Fashion,Entry level,High School or equivalent,Part-time,Sales,True,false_positive,0.34633098648928584
9740,0,1,0.34501764724021083,Medication Order Clerk,,Job Description                                                                                                                                                                                                                                                                                                                                               ,"US, FL, Jacksonville",,,,,,True,false_positive,0.34501764724021083
